0,1,2
90.8,37.5,
87.31,0.0,79.5
95.53,0.0,
89.11,0.0,93.33
94.13,0.0,93.33
94.1,0.0,96.0
18.72,0.0,
92.34,0.0,
57.99,0.0,67.0
96.72,,98.0
96.73,0.0,97.0
89.25,0.0,
96.06,0.0,
91.08,0.0,83.0
97.3,0.0,
92.76,46.5,
86.37,0.0,95.0
83.81,0.0,92.0
93.07,0.0,
85.28,99.0,
96.83,0.0,
91.85,100.0,
86.53,0.0,93.0
8.17,,7.0
93.39,0.0,87.0
99.08,,98.82
77.94,46.0,
80.08,0.0,
86.41,99.0,
77.73,0.0,
88.76,0.0,93.33
84.08,0.0,76.5
94.77,0.0,
79.71,0.0,
90.63,,96.33
85.21,76.0,
90.86,0.0,
91.26,0.0,84.0
94.7,0.0,
95.77,,97.1
93.74,,95.25
96.06,0.0,91.0
82.8,76.5,
97.74,0.0,92.33
88.05,0.0,
91.87,0.0,
56.47,,49.44
88.73,0.0,
95.26,0.0,91.33
95.79,0.0,
88.73,0.0,
95.98,,95.67
93.91,,96.5
90.85,0.0,
90.88,0.0,83.5
94.45,0.0,
94.71,0.0,
94.46,0.0,91.0
95.72,0.0,
94.85,0.0,92.0
79.85,0.0,
56.21,0.0,
85.51,0.0,83.5
97.69,0.0,94.5
90.17,0.0,
72.14,0.0,
94.81,0.0,
96.61,0.0,
74.11,0.0,97.0
95.35,0.0,
71.28,0.0,86.0
95.03,0.0,
87.79,0.0,96.0
83.52,0.0,54.25
35.59,0.0,
88.45,0.0,
95.54,0.0,
74.77,0.0,60.0
93.98,0.0,
99.52,95.8,
94.05,0.0,
73.37,0.0,
86.9,0.0,
95.79,0.0,
95.44,,96.78
90.15,0.0,
97.41,0.0,97.33
80.64,0.0,
77.54,43.0,
20.56,0.0,
59.56,0.0,
87.88,0.0,
80.03,0.0,
91.57,0.0,
81.93,44.0,
82.52,50.0,
93.0,0.0,92.0
97.1,,94.68
96.48,0.0,77.5
90.58,0.0,
91.95,0.0,98.67
64.39,0.0,52.5
93.46,0.0,
95.26,0.0,
91.63,0.0,91.0
67.69,0.0,61.0
89.29,0.0,87.2
98.49,0.0,
78.98,0.0,63.0
97.94,0.0,98.0
85.47,0.0,
87.34,3.62,
89.14,0.0,95.75
85.59,44.5,
95.96,0.0,93.0
97.71,0.0,98.0
93.52,0.0,
95.14,46.0,
77.93,0.0,84.0
54.95,0.0,41.0
80.38,0.0,
95.36,93.0,
98.06,0.0,
86.88,0.0,
80.73,0.0,82.5
96.83,0.0,
85.77,0.0,
70.02,0.0,
88.34,45.5,
89.97,0.0,92.0
88.42,0.0,
35.59,0.0,87.5
92.53,0.0,
93.1,,95.5
89.82,0.0,87.33
99.33,49.5,
95.81,0.0,94.0
93.32,0.0,
91.35,0.0,
91.69,97.0,
96.07,0.0,95.0
80.83,78.5,
96.68,0.0,
96.99,0.0,100.0
74.01,,88.0
89.08,0.0,82.22
96.62,,94.2
90.56,0.0,98.0
84.48,77.0,
97.35,,97.71
85.62,0.0,80.0
94.92,0.0,
74.67,0.0,
96.11,94.67,
91.0,0.0,99.5
93.09,,79.5
90.44,0.0,
83.76,42.0,
85.28,0.0,86.0
93.93,94.2,
81.89,0.0,
94.93,0.0,55.67
95.61,0.0,94.0
92.97,45.5,
97.85,0.0,
98.01,0.0,
66.79,0.0,48.5
74.51,0.0,48.0
82.95,0.0,84.0
89.66,0.0,63.33
91.73,0.0,
94.21,0.0,96.0
88.24,0.0,
68.58,0.0,
88.71,,92.71
96.61,98.0,
78.22,0.0,
93.83,0.0,94.67
98.91,0.0,95.5
82.2,0.0,80.0
90.6,,95.2
92.7,0.0,96.5
98.04,0.0,
86.59,0.0,97.0
91.94,89.0,
98.24,0.0,
94.95,0.0,97.5
97.46,0.0,99.4
88.22,0.0,
91.07,,87.45
90.92,88.67,
98.01,0.0,100.0
79.94,0.0,
81.21,0.0,97.33
98.26,,
89.35,0.0,
96.05,99.0,
79.16,89.0,
93.43,0.0,
97.87,49.5,
50.22,76.0,
76.44,46.0,
96.44,97.0,
94.55,0.0,
92.07,0.0,94.67
48.69,0.0,25.33
81.37,0.0,44.5
89.28,85.0,
89.21,0.0,
81.31,0.0,
87.36,0.0,
82.0,0.0,
78.71,0.0,79.75
84.69,0.0,84.0
89.17,88.0,
72.38,0.0,54.8
91.79,0.0,85.0
80.0,0.0,
42.6,0.0,28.5
97.81,0.0,94.83
92.63,0.0,
77.76,0.0,77.5
79.87,,78.25
66.8,0.0,
93.0,0.0,
93.96,0.0,96.5
85.64,0.0,75.0
96.66,0.0,96.5
76.96,0.0,76.0
90.78,0.0,94.0
94.08,0.0,
78.34,63.5,
75.17,61.33,
88.13,0.0,95.0
89.9,0.0,
72.31,0.0,
91.72,0.0,83.0
91.13,44.0,
65.76,0.0,
98.49,0.0,
96.84,0.0,
79.26,0.0,81.5
92.07,0.0,89.0
97.7,,97.62
75.51,0.0,59.0
69.61,0.0,
97.42,0.0,
95.55,0.0,92.5
79.99,0.0,
96.89,0.0,
80.77,0.0,
95.02,0.0,93.5
92.52,0.0,89.0
94.91,45.0,
86.74,0.0,
58.75,0.0,55.5
85.84,0.0,
89.44,0.0,93.8
55.68,12.0,
97.39,0.0,
86.2,,94.5
85.92,0.0,92.25
94.85,,95.5
97.69,0.0,97.0
98.02,0.0,97.5
94.4,,98.67
92.85,90.0,
67.62,0.0,55.0
90.88,0.0,89.0
93.13,0.0,91.5
96.04,0.0,96.5
88.8,,83.0
97.85,97.0,
95.99,0.0,92.5
22.99,0.0,24.0
90.48,0.0,95.75
94.16,0.0,
76.52,0.0,69.75
85.47,29.0,
93.99,0.0,98.5
93.86,0.0,90.67
91.45,0.0,
91.4,,89.0
70.88,75.0,
89.46,0.0,73.0
87.0,0.0,98.5
97.64,48.5,
89.34,0.0,
92.65,0.0,11.67
95.14,0.0,89.0
79.63,0.0,82.5
92.79,0.0,
74.32,0.0,83.5
78.82,0.0,85.5
78.32,0.0,70.25
94.03,0.0,
97.73,,98.0
84.8,0.0,
